"region","subregion","chl_mean","sst_mean","fwd_mean","poc_mean","dist_S","wf_log","rugosity","easting","northing","lat","long","site","complx_3m","ext_m_tetra","ext_m_brachi","ext_m_chth","incl_graus_franja","incl_graus_tetra","incl_graus_brachi","incl_graus_chth","extensao","inclinacao","mean_exp","sst_mean.1","sst_CV","distCentro","pop_2010","pop_est_2017","cresc_anual","densidade_km2","distance_S"
"W-E","MRRJ",5.985,24.305,0.675,447.069,392.91,4.140668,1.245,685372.347068603,7456388.95843599,-22.9905,-43.1915,"Arpoador",1.2445097833693,0.604,0.924,2.064,25.6,37.2,38.2,33.6,1.19733333333333,33.65,14322.4447265625,24.3050801067742,11.2516194562099,9.45848447188283,6320446,6520266,0.4377998426094,5265.82,392.909085
"W-E","MRRJ",8.44,23.979,0.958,491.321,397.05,3.118625,1.363,688313.141341145,7460397.23132872,-22.95398,-43.16331,"Vermelha",1.36251984249996,1.114,2.53,3.414,31.6,33.2,25.8,28,2.35266666666667,29.65,2910.3631967817,23.9792996604,10.5922789579598,5.31150242239544,6320446,6520266,0.4377998426094,5265.82,397.050972
"W-E","MRRJ",12.596,23.964,0.988,499.424,405.65,4.040167,1.047,697650.916073022,7459897.64217778,-22.95741,-43.07221,"Piratininga",1.04725537461668,0.82,1.478,3.264,9,18.2,15.4,18.4,1.854,15.25,11227.8980170356,23.96412982,9.19558778323155,11.7481062771663,487562,499028,0.3282380948564,3640.8,405.648143
"W-E","MRRJ",8.427,24.002,0.989,475.553,407.39,3.32882,1.056,700162.836817555,7458040.28462842,-22.973879,-43.04748,"Itaipu",1.05638529116244,0.758,2.034,3.666,14.2,14.6,17,12.6,2.15266666666667,14.6,5054.09839434956,24.002166081,11.0732531356086,14.851995000019,487562,499028,0.3282380948564,3640.8,407.388956
"W-E","MRRJ",6.882,24.17,0.609,459.713,442.01,4.0368,1.183,736321.673835296,7459240.54129038,-22.95831,-42.69515,"Maricá",1.18338627273929,0.728,1.46,3.272,21.2,17.4,16.6,17.8,1.82,18.25,13857.9517299107,24.1700994484,10.0365341900165,49.334348313315,127461,153008,2.3852160858069,351.55,442.008565
"W-E","MRRJ",4.884,24.051,0.709,429.633,462.34,4.140967,1.142,757042.645702747,7461217.89924597,-22.9374,-42.49353,"Saquarema",1.14233967665484,1.108,1.96,5.454,19.2,21.6,19.8,30.2,2.84066666666667,22.7,13881.6829723011,24.0511106394444,9.01433886705726,69.7722955169581,74234,85175,1.83504549457,209.96,462.337107
"W-E","LRRJ",2.685,23.091,0.568,347.036,505.9,3.822869,1.202,804012.846755643,7455976.98944643,-22.97679,-42.03492,"Ponta da Cabeça",1.20222222222222,1.254,1.914,5.114,NA,19,21.4,9.6,2.76066666666666,16.6666666666667,8823.00244140625,23.0913455673077,7.63148410538604,116.97460969268,27715,29304,0.774638274638275,172.91,505.89509
"W-E","LRRJ",1.606,23.041,0.569,294.737,507.67,3.419994,1.156,805170.30941184,7458442.11192362,-22.95434,-42.02413,"Prainha (Arraial do Cabo)",1.15613176095935,1.7,4.18,5.58,NA,16.6,12.4,12.8,3.82,13.9333333333333,2861.73175964355,23.0412064586207,7.31967199749149,117.951601281943,27715,29304,0.774638274638275,172.91,507.666072
"W-E","LRRJ",2.671,23.13,0.566,328.096,508.05,3.332353,1.167,806552.061675709,7454866.80522792,-22.98634,-42.00996,"Atalaia",1.16733342317044,1.14,1.632,2.416,26.6,27,31.6,26.8,1.72933333333333,28,2467.27333432152,23.129999522069,7.66000394576621,119.598164468804,27715,29304,0.774638274638275,172.91,508.051757
"W-E","LRRJ",2.211,23.091,0.555,302.409,508.11,3.037608,1.277,806079.884331694,7456829.61603413,-22.96872,-42.01495,"Forno (Arraial do Cabo)",1.27658385093168,1.28,2.54,3.38,12,15.2,18.6,21.8,2.4,16.9,2434.5906122993,23.0908616827586,7.31592423682226,118.967124289814,27715,29304,0.774638274638275,172.91,508.112418
"W-E","LRRJ",2.517,23.08,0.573,354.708,511.5,3.402715,1.122,806998.581462347,7466004.84597339,-22.88578,-42.00782,"Forte",1.12247326741257,1.484,2.124,2.7,22.2,20.6,29.2,38.2,2.10266666666667,27.55,4302.01289665916,23.0801037558333,7.34167819852464,119.560086444492,186227,216030,1.97082415802038,453.75,511.49903
"W-E","LRRJ",2.968,23.164,0.658,345.562,514.75,3.933147,1.44,809834.09627174,7467893.51121468,-22.86822,-41.98059,"Conchas",1.44045250235401,1.08,1.78,2.664,18.6,28,41.4,31.8,1.84133333333333,29.95,9191.49922449449,23.1642303461538,7.27051285846261,122.413746117022,186227,216030,1.97082415802038,453.75,514.749644
"W-E","LRRJ",2.419,23.082,0.708,361.218,525.2,3.797723,1.187,817896.857892256,7477374.2250044,-22.78119,-41.90404,"Geribá",1.18725718725718,0.94,1.32,2.24,19.6,23,15,19,1.5,19.15,8374.11500244141,23.0816340073077,7.3958737978437,130.976251876468,27560,32260,2.08130369320698,392.16,525.201862
"W-E","LRRJ",2.335,23.053,0.711,348.079,525.7,3.898375,1.17,818450.113688127,7477286.13444884,-22.78188,-41.89864,"Ferradurinha",1.17042041174575,0.482,0.578,2.144,23,23.4,26.4,21.2,1.068,23.5,9083.80791311553,23.0534610003846,7.26061314943884,131.518988604415,27560,32260,2.08130369320698,392.16,525.704015
"W-E","LRRJ",2.219,23.236,0.7,327.205,527.54,3.58096,1.242,820017.319985661,7478434.95422524,-22.77122,-41.88363,"Ferradura",1.24153252413316,1.138,1.986,4.686,16.4,39.6,44.8,38.2,2.60333333333333,34.75,6796.19071941376,23.2363387171429,7.22900235743512,133.184220098215,27560,32260,2.08130369320698,392.16,527.53921
"W-E","LRRJ",2.114,23.243,0.714,320.01,528.67,3.872193,1.098,820920.940355113,7479357.10462197,-22.76273,-41.87503,"Forno (Búzios)",1.09834853308611,0.784,1.042,1.832,20.6,16,26.8,17.6,1.21933333333333,20.25,10780.224691952,23.2426846822222,7.25316118739998,134.174037330313,27560,32260,2.08130369320698,392.16,528.674787
