"site","replica","cover","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab"
"Coqueiro",8,0.47,"SCRJ","W-E",6.348,26.081,0.52,3.70529,1.082,11.45,545783.691782831,7452294.54211676,263.934698,20.4419565217391,22
"Coqueiro",9,0.42,"SCRJ","W-E",6.348,26.081,0.52,3.70529,1.082,11.45,545783.691782831,7452294.54211676,263.934698,20.4419565217391,22
"Coqueiro",10,0.65,"SCRJ","W-E",6.348,26.081,0.52,3.70529,1.082,11.45,545783.691782831,7452294.54211676,263.934698,20.4419565217391,22
"Éden",1,0.9,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",2,0.86,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",3,0.79,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",4,0.88,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",5,0.85,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",6,0.9,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",7,0.58,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",8,0.62,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",9,0.8,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Éden",10,0.77,"MRBS","SW-NE",4.568,25.402,0.859,3.90032,1.312,39.95,379312.823630726,7346733.52484407,67.720886,19.3572413793103,2
"Engenho",1,0.59,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Engenho",2,0.8,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Engenho",3,0.67,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Engenho",4,0.15,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Engenho",5,0.68,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Engenho",6,0.63,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Engenho",7,0.65,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Engenho",8,0.61,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
