"site","tamanho_mm","region","subregion","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","ndvi","easting","northing","ext","ext_m_chth","incl_graus_chth","inclinacao","distance_S","ndvi_sup_diff"
"Almada",4.647,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.487,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.112,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.804,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.587,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.751,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.898,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.353,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.932,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",2.832,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",7.492,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
