"lat","lon","region","site","height","fase","sample","mean","sd","var","median","min","max","Q1","Q3","unique_id","diff","cv"
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",3,0.4473,0.0176,0,0.4247,-0.0175,1,0.3089,0.5589,"indaia_superior_3",0.0399,0.0393471942767717
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",4,0.3947,0.0111,0,0.3617,0.0154,1,0.2582,0.5204,"indaia_superior_4",0.061,0.0281226247783126
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",5,0.4257,0.0141,0,0.4068,-0.0197,1,0.2933,0.5325,"indaia_superior_5",0.1251,0.0331219168428471
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",6,0.3564,0.0103,0,0.3404,0.0136,1,0.2481,0.4505,"indaia_superior_6",0.0577,0.0289001122334456
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",7,0.4434,0.0132,0,0.4194,0.0246,1,0.2942,0.5597,"indaia_superior_7",0.1058,0.0297699594046008
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",8,0.3566,0.0112,0,0.3308,0.0027,1,0.2432,0.4494,"indaia_superior_8",0.0296,0.031407739764442
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",9,0.3684,0.0128,0,0.3427,-0.0211,1,0.2388,0.4715,"indaia_superior_9",-0.0539,0.0347448425624321
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",10,0.3798,0.0078,0,0.3673,0.0045,1,0.2808,0.463,"indaia_superior_10",0.093,0.0205371248025276
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",11,0.323,0.0113,0,0.2941,-0.0043,1,0.2025,0.4163,"indaia_superior_11",0.028,0.034984520123839
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",12,0.3509,0.0081,0,0.3383,-0.0065,1,0.24,0.44,"indaia_superior_12",0.0468,0.0230834995725278
