site	region	subregion	distance_S	easting	northing	tamanho_mm	chl_mean	sst_mean	fwd_mean	wf_log	rugosity	inclinacao	Tetr_size	Tetr_density	Brach_cover	Brach_size	perna_PA	perna_cover	Brach_RW
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	22.650	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.590	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	22.000	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.690	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	21.710	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.470	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.600	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.530	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.330	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	22.040	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.230	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.180	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.920	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.730	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.820	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.480	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.160	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.070	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.770	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.030	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.750	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.080	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.650	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.350	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.800	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.950	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
